DATA_YEAR,OFFENSE_ID,INCIDENT_ID,OFFENSE_TYPE_ID,LOCATION_NAME,OFFENSE_NAME
2020,152221221,125728267,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,152221296,125728335,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,152221321,125728360,45,Parking/Drop Lot/Garage,All Other Larceny
2020,152221327,125728365,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,152221367,125728401,47,Commercial/Office Building,Theft From Building
2020,152221365,125728401,11,Other/Unknown,Counterfeiting/Forgery
2020,152221419,125728446,23,Liquor Store,Shoplifting
2020,152221430,125728457,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,152221431,125728457,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,152221469,125728492,63,Other/Unknown,Identity Theft
2020,152221514,125728531,7,Specialty Store,Theft of Motor Vehicle Parts or Accessories
2020,152221529,125728541,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,152221636,125728648,63,Residence/Home,Identity Theft
2020,152221651,125728654,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,152221663,125728665,5,School/College,Destruction/Damage/Vandalism of Property
2020,152221992,125728967,16,Government/Public Building,Drug/Narcotic Violations
2020,152222001,125728977,45,Specialty Store,All Other Larceny
2020,152222022,125728996,14,Residence/Home,Theft From Motor Vehicle
2020,152222092,125729062,51,Highway/Road/Alley/Street/Sidewalk,Simple Assault
2020,152222125,125729091,49,Residence/Home,Burglary/Breaking & Entering
2020,152222130,125729097,51,Residence/Home,Simple Assault
2020,152222136,125729101,45,Specialty Store,All Other Larceny
2020,152222162,125729122,23,Grocery/Supermarket,Shoplifting
2020,152222178,125729138,23,Drug Store/Doctor's Office/Hospital,Shoplifting
2020,152222176,125729138,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,152222177,125729138,51,Parking/Drop Lot/Garage,Simple Assault
2020,152222191,125729147,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,160791724,133481039,47,Restaurant,Theft From Building
2020,160791702,133481017,45,Residence/Home,All Other Larceny
2020,152219683,125726867,16,School/College,Drug/Narcotic Violations
2020,152219703,125726884,36,Residence/Home,Rape
2020,152219702,125726884,43,Residence/Home,Sodomy
2020,152219718,125726896,47,Specialty Store,Theft From Building
2020,152219720,125726898,39,School/College,Weapon Law Violations
2020,152219728,125726904,36,Residence/Home,Rape
2020,152219729,125726904,4,Residence/Home,Sexual Assault With An Object
2020,152219736,125726911,37,Residence/Home,Embezzlement
2020,152219745,125726922,51,Residence/Home,Simple Assault
2020,152219747,125726922,27,Residence/Home,Aggravated Assault
2020,152219782,125726948,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,152219819,125726982,51,Residence/Home,Simple Assault
2020,152219843,125727002,21,Residence/Home,Motor Vehicle Theft
2020,152219849,125727010,40,Parking/Drop Lot/Garage,Robbery
2020,152219863,125727019,51,Residence/Home,Simple Assault
2020,152219864,125727019,4,Residence/Home,Sexual Assault With An Object
2020,152219869,125727025,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,152219876,125727031,23,Department/Discount Store,Shoplifting
2020,152219877,125727032,49,Residence/Home,Burglary/Breaking & Entering
2020,152219892,125727040,51,Grocery/Supermarket,Simple Assault
2020,152219900,125727049,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,152219922,125727073,51,Residence/Home,Simple Assault
2020,152219952,125727093,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,152219963,125727103,51,Residence/Home,Simple Assault
2020,152219994,125727127,45,Residence/Home,All Other Larceny
2020,152220000,125727130,36,Highway/Road/Alley/Street/Sidewalk,Rape
2020,152220008,125727138,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,152220007,125727138,49,Residence/Home,Burglary/Breaking & Entering
2020,152220016,125727144,27,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault
2020,152220017,125727145,51,Parking/Drop Lot/Garage,Simple Assault
2020,152220028,125727154,45,Parking/Drop Lot/Garage,All Other Larceny
2020,152220027,125727154,11,Parking/Drop Lot/Garage,Counterfeiting/Forgery
2020,152220045,125727168,27,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault
2020,152220056,125727175,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,152220061,125727184,14,Residence/Home,Theft From Motor Vehicle
2020,152220084,125727204,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,152220117,125727236,36,Highway/Road/Alley/Street/Sidewalk,Rape
2020,152220124,125727241,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,152220128,125727243,11,Commercial/Office Building,Counterfeiting/Forgery
2020,152220134,125727249,41,Grocery/Supermarket,Credit Card/Automated Teller Machine Fraud
2020,152220135,125727249,47,Grocery/Supermarket,Theft From Building
2020,152220158,125727271,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
2020,152220178,125727289,21,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft
2020,152220192,125727302,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,152220199,125727309,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,152220208,125727317,47,Residence/Home,Theft From Building
2020,152220206,125727317,41,Department/Discount Store,Credit Card/Automated Teller Machine Fraud
2020,152220209,125727318,45,Residence/Home,All Other Larceny
2020,152220230,125727336,45,Residence/Home,All Other Larceny
2020,152220253,125727357,14,Service/Gas Station,Theft From Motor Vehicle
2020,159824565,132618359,23,Drug Store/Doctor's Office/Hospital,Shoplifting
2020,159827590,132614455,51,Residence/Home,Simple Assault
2020,159827605,132618367,14,Residence/Home,Theft From Motor Vehicle
2020,159824579,132614478,51,Residence/Home,Simple Assault
2020,159827614,132614478,49,Residence/Home,Burglary/Breaking & Entering
2020,159827653,132614512,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,159824620,132618408,14,Residence/Home,Theft From Motor Vehicle
2020,159827695,132618412,21,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft
2020,159824655,132618447,51,Specialty Store,Simple Assault
2020,159827773,132618458,27,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault
2020,159824687,132618478,45,Highway/Road/Alley/Street/Sidewalk,All Other Larceny
2020,159827812,132618483,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159824694,132618488,5,Drug Store/Doctor's Office/Hospital,Destruction/Damage/Vandalism of Property
2020,159827833,132614666,47,Specialty Store,Theft From Building
2020,159827838,132614671,51,Residence/Home,Simple Assault
2020,159990638,132767023,40,Service/Gas Station,Robbery
2020,159985682,132767042,63,Residence/Home,Identity Theft
2020,159990694,132763799,51,Residence/Home,Simple Assault
2020,159990702,132763804,63,Other/Unknown,Identity Theft
2020,159990740,132763838,37,Commercial/Office Building,Embezzlement
2020,159990763,132763859,49,Commercial/Office Building,Burglary/Breaking & Entering
2020,159990764,132763859,21,Commercial/Office Building,Motor Vehicle Theft
2020,159990806,132763899,40,Specialty Store,Robbery
2020,159990816,132763908,23,Drug Store/Doctor's Office/Hospital,Shoplifting
2020,159991021,132764094,51,Residence/Home,Simple Assault
2020,159985912,132767248,23,Specialty Store,Shoplifting
2020,159991027,132764102,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159991029,132764104,5,School/College,Destruction/Damage/Vandalism of Property
2020,159991032,132764107,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
2020,159985928,132764112,45,Residence/Home,All Other Larceny
2020,159985939,132767271,51,Grocery/Supermarket,Simple Assault
2020,159991073,132764147,51,Specialty Store,Simple Assault
2020,159985981,132764169,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,159986071,132767369,47,Residence/Home,Theft From Building
2020,159986078,132764267,27,Residence/Home,Aggravated Assault
2020,159991189,132764276,64,Other/Unknown,Hacking/Computer Invasion
2020,159986120,132764308,14,Residence/Home,Theft From Motor Vehicle
2020,159991224,132767416,45,Residence/Home,All Other Larceny
2020,159991253,132764331,35,Parking/Drop Lot/Garage,Drug Equipment Violations
2020,159986149,132764341,2,Residence/Home,False Pretenses/Swindle/Confidence Game
2020,159991271,132764350,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,159991284,132764363,41,Grocery/Supermarket,Credit Card/Automated Teller Machine Fraud
2020,159986167,132764363,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991295,132764373,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159996185,132764385,63,Other/Unknown,Identity Theft
2020,159991337,132764403,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
2020,159996205,132764426,51,Residence/Home,Simple Assault
2020,159991367,132767507,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
2020,159996224,132767516,14,Residence/Home,Theft From Motor Vehicle
2020,159991393,132767525,51,Residence/Home,Simple Assault
2020,159996236,132767535,49,Residence/Home,Burglary/Breaking & Entering
2020,159996241,132764472,47,Commercial/Office Building,Theft From Building
2020,159996239,132764472,41,Commercial/Office Building,Credit Card/Automated Teller Machine Fraud
2020,159991420,132764482,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159991426,132764489,27,Parking/Drop Lot/Garage,Aggravated Assault
2020,159991440,132764503,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991449,132764515,40,Residence/Home,Robbery
2020,159996286,132764547,51,Residence/Home,Simple Assault
2020,159991508,132767590,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,159991523,132764573,63,Other/Unknown,Identity Theft
2020,159991529,132764580,49,Parking/Drop Lot/Garage,Burglary/Breaking & Entering
2020,159996305,132764587,14,Residence/Home,Theft From Motor Vehicle
2020,159991545,132767608,21,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft
2020,159996323,132764614,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159991602,132764645,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159991613,132767646,41,Bank/Savings and Loan,Credit Card/Automated Teller Machine Fraud
2020,159991628,132767661,51,Residence/Home,Simple Assault
2020,159996380,132764707,23,Specialty Store,Shoplifting
2020,159996386,132764715,63,Residence/Home,Identity Theft
2020,159991713,132764743,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159996427,132764777,47,Residence/Home,Theft From Building
2020,159991753,132764788,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,159991766,132764798,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,159991784,132764815,63,Residence/Home,Identity Theft
2020,159991791,132764827,23,Service/Gas Station,Shoplifting
2020,159991796,132764836,27,Residence/Home,Aggravated Assault
2020,159991835,132764867,14,Residence/Home,Theft From Motor Vehicle
2020,159996480,132767760,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991855,132767764,41,Department/Discount Store,Credit Card/Automated Teller Machine Fraud
2020,159991856,132767764,23,Department/Discount Store,Shoplifting
2020,159991883,132767773,36,Highway/Road/Alley/Street/Sidewalk,Rape
2020,159991897,132767779,49,Department/Discount Store,Burglary/Breaking & Entering
2020,159991954,132764973,47,Residence/Home,Theft From Building
2020,159996534,132764981,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159996553,132767825,45,Residence/Home,All Other Larceny
2020,159992015,132765037,45,Residence/Home,All Other Larceny
2020,159996580,132767847,5,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property
2020,159992050,132765064,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159992104,132767879,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,159992102,132767879,14,Residence/Home,Theft From Motor Vehicle
2020,159996633,132767889,14,Residence/Home,Theft From Motor Vehicle
2020,159992146,132765157,63,Other/Unknown,Identity Theft
2020,159996697,132765262,23,Specialty Store,Shoplifting
2020,159992258,132765270,45,Residence/Home,All Other Larceny
2020,159996722,132765305,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,159992370,132765379,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,159992377,132765384,14,Residence/Home,Theft From Motor Vehicle
2020,159992405,132765409,23,Convenience Store,Shoplifting
2020,159992136,132765149,49,Residence/Home,Burglary/Breaking & Entering
2020,159996643,132765166,41,Drug Store/Doctor's Office/Hospital,Credit Card/Automated Teller Machine Fraud
2020,159992188,132765196,11,Bank/Savings and Loan,Counterfeiting/Forgery
2020,159992209,132765222,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,159996688,132767940,16,Residence/Home,Drug/Narcotic Violations
2020,159992264,132765274,16,Residence/Home,Drug/Narcotic Violations
2020,159992301,132765317,27,Residence/Home,Aggravated Assault
2020,159992304,132765320,41,Specialty Store,Credit Card/Automated Teller Machine Fraud
2020,159992315,132765328,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159992339,132765349,64,Residence/Home,Hacking/Computer Invasion
2020,159992342,132767969,11,Other/Unknown,Counterfeiting/Forgery
2020,159992343,132767969,45,Other/Unknown,All Other Larceny
2020,159992346,132765357,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159992404,132765410,2,Residence/Home,False Pretenses/Swindle/Confidence Game
2020,159985933,132764121,23,Department/Discount Store,Shoplifting
2020,159991053,132767276,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159986086,132764279,45,Residence/Home,All Other Larceny
2020,159986131,132767417,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159986137,132767424,23,Convenience Store,Shoplifting
2020,159986141,132767436,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,159991276,132767452,47,Commercial/Office Building,Theft From Building
2020,159991299,132764377,23,Grocery/Supermarket,Shoplifting
2020,159996190,132767481,45,Parking/Drop Lot/Garage,All Other Larceny
2020,159991341,132764410,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,159991359,132767501,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991373,132764439,49,Residence/Home,Burglary/Breaking & Entering
2020,159996228,132767524,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159996233,132764463,47,Commercial/Office Building,Theft From Building
2020,159991407,132764467,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,159991408,132764467,47,Department/Discount Store,Theft From Building
2020,159996240,132764469,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,159991446,132764508,14,Residence/Home,Theft From Motor Vehicle
2020,159996276,132767565,47,Grocery/Supermarket,Theft From Building
2020,159996281,132764534,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,159991505,132767586,51,Highway/Road/Alley/Street/Sidewalk,Simple Assault
2020,159991765,132764797,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,159991789,132764822,2,Other/Unknown,False Pretenses/Swindle/Confidence Game
2020,159991798,132764831,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991812,132767744,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159991899,132764924,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,159991955,132767803,41,Other/Unknown,Credit Card/Automated Teller Machine Fraud
2020,159991962,132764985,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,159991995,132765015,51,Residence/Home,Simple Assault
2020,159992019,132765040,40,Residence/Home,Robbery
2020,159992055,132765071,11,Commercial/Office Building,Counterfeiting/Forgery
2020,159992057,132765071,45,Commercial/Office Building,All Other Larceny
2020,159996602,132767865,51,Residence/Home,Simple Assault
2020,159992101,132767875,56,Residence/Home,Fondling
2020,159992139,132765155,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,159992153,132765163,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,160254552,133006513,7,Residence/Home,Theft of Motor Vehicle Parts or Accessories
2020,160260219,133006581,37,Daycare Facility,Embezzlement
2020,160260229,133006596,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160260240,133006617,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160260241,133004248,51,Commercial/Office Building,Simple Assault
2020,160260242,133004248,5,Commercial/Office Building,Destruction/Damage/Vandalism of Property
2020,160254701,133006644,63,Cyberspace,Identity Theft
2020,160254795,133004304,27,Residence/Home,Aggravated Assault
2020,160254800,133006723,40,Highway/Road/Alley/Street/Sidewalk,Robbery
2020,160254845,133004308,51,Parking/Drop Lot/Garage,Simple Assault
2020,160254898,133004333,49,Residence/Home,Burglary/Breaking & Entering
2020,160254951,133004364,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,160260387,133006879,16,Parking/Drop Lot/Garage,Drug/Narcotic Violations
2020,160254986,133006879,39,Parking/Drop Lot/Garage,Weapon Law Violations
2020,160255009,133006897,23,Liquor Store,Shoplifting
2020,160255047,133006925,40,Parking/Drop Lot/Garage,Robbery
2020,160255084,133006957,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,160255097,133006969,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160255117,133006985,16,Residence/Home,Drug/Narcotic Violations
2020,160255159,133004428,16,Parking/Drop Lot/Garage,Drug/Narcotic Violations
2020,160260449,133004432,56,Residence/Home,Fondling
2020,160255188,133007039,39,Residence/Home,Weapon Law Violations
2020,160255190,133007039,16,Residence/Home,Drug/Narcotic Violations
2020,160260475,133007063,46,Specialty Store,Impersonation
2020,160255238,133004463,45,Other/Unknown,All Other Larceny
2020,160255240,133004463,5,Other/Unknown,Destruction/Damage/Vandalism of Property
2020,160255255,133004473,46,Residence/Home,Impersonation
2020,160255318,133007140,63,Bank/Savings and Loan,Identity Theft
2020,160255361,133007171,5,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property
2020,160255422,133004528,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,160255453,133007256,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160255480,133007276,23,Specialty Store,Shoplifting
2020,160255490,133004548,51,Residence/Home,Simple Assault
2020,160255522,133007320,16,Parking/Drop Lot/Garage,Drug/Narcotic Violations
2020,160255551,133007342,21,Residence/Home,Motor Vehicle Theft
2020,160255571,133007360,16,Highway/Road/Alley/Street/Sidewalk,Drug/Narcotic Violations
2020,160255640,133007417,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,160255663,133004581,21,Parking/Drop Lot/Garage,Motor Vehicle Theft
2020,160255711,133004594,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,160255710,133004594,49,Residence/Home,Burglary/Breaking & Entering
2020,160260660,133004628,40,Highway/Road/Alley/Street/Sidewalk,Robbery
2020,160255804,133004633,23,Specialty Store,Shoplifting
2020,160255813,133007559,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160255814,133007559,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160260672,133004637,27,Residence/Home,Aggravated Assault
2020,160255926,133004673,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160255928,133004673,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160260759,133007700,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160255989,133007700,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160255993,133007704,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160255994,133007704,5,Parking/Drop Lot/Garage,Destruction/Damage/Vandalism of Property
2020,160256033,133004720,14,Highway/Road/Alley/Street/Sidewalk,Theft From Motor Vehicle
2020,160256051,133004727,51,Service/Gas Station,Simple Assault
2020,160256063,133004728,45,Grocery/Supermarket,All Other Larceny
2020,160256098,133004733,45,Parking/Drop Lot/Garage,All Other Larceny
2020,160261307,133007923,21,Residence/Home,Motor Vehicle Theft
2020,160261323,133007945,21,Residence/Home,Motor Vehicle Theft
2020,160261353,133007975,45,Residence/Home,All Other Larceny
2020,160260849,133007985,5,Residence/Home,Destruction/Damage/Vandalism of Property
2020,160260848,133007985,14,Residence/Home,Theft From Motor Vehicle
2020,160261388,133004796,14,Parking/Drop Lot/Garage,Theft From Motor Vehicle
2020,160261408,133008016,7,Highway/Road/Alley/Street/Sidewalk,Theft of Motor Vehicle Parts or Accessories
2020,160261416,133004804,21,Highway/Road/Alley/Street/Sidewalk,Motor Vehicle Theft
2020,160261458,133004823,7,Parking/Drop Lot/Garage,Theft of Motor Vehicle Parts or Accessories
2020,160260895,133008082,7,Residence/Home,Theft of Motor Vehicle Parts or Accessories
2020,160261519,133008107,45,Residence/Home,All Other Larceny
2020,160261551,133004833,51,Residence/Home,Simple Assault
2020,160261552,133004833,5,Highway/Road/Alley/Street/Sidewalk,Destruction/Damage/Vandalism of Property
2020,159986123,132764312,23,Convenience Store,Shoplifting
2020,159986134,132764319,51,Residence/Home,Simple Assault
2020,159991241,132764326,45,Other/Unknown,All Other Larceny
2020,159991240,132764326,11,Other/Unknown,Counterfeiting/Forgery
